"ID","Company","EL Date","IBC Date","Est. Close Date","Project Name","EL Expiration Date","Status","Deal Type","Deal Slot","Closed Date","Dead Date","Primary Banker","Practice Area","Industry","Projected Transaction Size","Enterpise Value","Final Transaction Size","Projected Fee","Fee Minimum","Engagment Fee","Fee Details","Split to Corporate","Monthly Retainer","Final Total Sucess Fee","Ownership Class","Referral Type","Referral Source-Company","Referral Scource-Ind.","Description","Team Split-1","Team-1","Team Split-2","Team-2","Team Split-3","Team-3","Team Split-4","Team-4","Team Split-5","Team-5","Team Split-6","Team-6","Fee Split-1","Fee To-1","Fee Split-2","Fee To-2","Fee Split-3","Fee To-3","Fee Split-4","Fee To-4","Fee Split-5","Fee To-5","Fee Split-6","Fee To-6","Paul","McBroom","Pipeline","Month of Close","Gross This","Gross Next"
"574","PhotoGenesis","6/23/2014","6/9/2014","","Project Distributed Generation","","Pre Market","Capital Formation - Equity","Wheelhouse","","","Mike Swartz","Energy & Natural Resources","Energy & Natural Resources - Alternative - Solar","$30000000","$25mm - $75mm","","$750000","350000","0","","0.20","0","","Privately Owned","Sole Sourced","","","","50%","Mike Swartz","50%","CJ Hummel","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","8/19/2015","0","0"
"575","PhysAssist Scribes, Inc.","","","","","","Dead","M&A - Sell-side","Wheelhouse","","5/27/2014","Bob Balaban","","","$25000000","$25mm - $75mm","","","","","","0.35","","","","","","","","","Paul Janson","","Chad Gardiner","","","","","","","","","","","","","","","","","","","","","1","0","Corporate Revenue Pipeline","2/1/2015","0","0"
"576","Plastiblok","3/11/2013","","","","","Dead","Licensing","Minimum","","8/6/2014"," ","","","$5000000","$10mm - $25mm","","","","","","","","","","",""," ","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"577","Precision Opinion","5/8/2013","","","Project Crowd","","On Hold","M&A - Sell-side","Minimum","","","Bob Balaban","Business Services","Business Services - Support Services - BPO","$7000000","< $10mm","","$300000","","","","0.20","","","Privately Owned","Sole Sourced","Sole Sourced","Bob Balaban","","100%","Bob Balaban","","Chad Gardiner","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"578","Protonex","","","","","","Dead","Advisory","Minimum","","5/28/2014","Tess Oxenstierna","","","$400000","< $10mm","","","","","","","","","","",""," ","","","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"579","Qualfon","3/20/2012","","7/30/2014","Project Talk 3","","In Market","M&A - Buy-side","Minimum","","","Bob Balaban","Business Services","Business Services - Support Services - Call Centers","$8000000","$10mm - $25mm","","$500000","","","","0.30","","","Privately Owned","IBS to Practice","UBS","","","","Bob Balaban","","","","","","","","","","","","","","","","","","","","","","","0","0","IBS - Non-Corporate Pipeline","","0","0"
"580","Qualfon","","","","Project Talk","","Closed","M&A - Buy-side","Speculative","5/5/2014","","Bob Balaban","","","$9000000","$10mm - $25mm","$25000000","$750000","750000","","","","","1375000","","IBS to Practice","UBS"," ","","","Bob Balaban","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"581","Quantum Technology Sciences, Inc.","7/10/2012","","","","","Dead","Capital Formation - Equity","Minimum","","4/4/2014","Tom McConnell","","","$7500000","< $10mm","","$300000","0","","","","10000","","","","","Len Laporta","","","Tom McConnell","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"582","RAVN Alaska","4/23/2014","4/7/2014","","RAVN Alaska","","Pre Market","M&A - Sell-side","Wheelhouse","","","Jack Maier","Industrials","Industrials - Aerospace/Defense","$150000000","< $150mm","","$3000000","1000000","20000","","0.50","20000","","Privately Owned","IBS to Practice","Barclays","","","","Jack Maier","","Ian Cookson","","Brad Collins","","Olivia Moran","","","","","","","","","","","","","","","","","1","0","Standard Margine Pipeline - Non-Corporate","2/18/2015","0","2500000"
"583","Relevant Ads","6/5/2013","","","Relevant Ads","","In Market","Capital Formation - Equity,M&A - Sell-side","Minimum","","","John Batdorf","TMT","Technology/Media/Telecom - Tech - Software","$25000000","$25mm - $75mm","","$1000000","","","","0.15","","","Privately Owned","Sole Sourced","Sole Sourced","John Batdorf","","","John Batdorf","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","11/19/2014","0","0"
